Name,Location,Filename,Heading for main subject,Title,Description,Related organization/service branch,Related organization/service branch URI,Topics,Topics URI,Genre/format,URI (from Location),Latitude (from Location),Longitude (from Location),Women,Gold Star,Influenza,Reference URL,CONTENTdm number
Albert Alderson,Camp Dodge (Iowa),wwi_service_records_b1_f006,"Alderson, Albert",Albert Alderson file,"File documenting the participation of Albert Alderson in World War I. Alderson enlisted in the Army on May 5th, 1917, and was first stationed in Fort Riley, Kansas. He served in the 338th Field Artillery (Camp Dodge, Iowa), the 352nd Infantry, and the 30th Infantry (Mayen, Germany). He was involved in the Meuse-Argonne Offensive. File includes address card, student information form, and letters.","United States. Army; United States. Army. Field Artillery Regiment, 338th; United States. Army. Infantry Regiment, 352nd; United States. Army. Infantry Regiment, 30th (1901-1957)",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n2003028932,"Alderson, Albert; World War, 1914-1918; Illinois State Normal University--Students; World War, 1914-1918--Campaigns--Meuse River Valley; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; https://id.loc.gov/authorities/subjects/sh2010007621; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/7267333/,41.70298,-93.7185,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/161,161
Albert Alderson,Meuse (France),wwi_service_records_b1_f006,"Alderson, Albert",Albert Alderson file,"File documenting the participation of Albert Alderson in World War I. Alderson enlisted in the Army on May 5th, 1917, and was first stationed in Fort Riley, Kansas. He served in the 338th Field Artillery (Camp Dodge, Iowa), the 352nd Infantry, and the 30th Infantry (Mayen, Germany). He was involved in the Meuse-Argonne Offensive. File includes address card, student information form, and letters.","United States. Army; United States. Army. Field Artillery Regiment, 338th; United States. Army. Infantry Regiment, 352nd; United States. Army. Infantry Regiment, 30th (1901-1957)",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n2003028932,"Alderson, Albert; World War, 1914-1918; Illinois State Normal University--Students; World War, 1914-1918--Campaigns--Meuse River Valley; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; https://id.loc.gov/authorities/subjects/sh2010007621; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/2994106/,48.97176,5.36371,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/161,161
Albert Alderson,Mayen (Germany),wwi_service_records_b1_f006,"Alderson, Albert",Albert Alderson file,"File documenting the participation of Albert Alderson in World War I. Alderson enlisted in the Army on May 5th, 1917, and was first stationed in Fort Riley, Kansas. He served in the 338th Field Artillery (Camp Dodge, Iowa), the 352nd Infantry, and the 30th Infantry (Mayen, Germany). He was involved in the Meuse-Argonne Offensive. File includes address card, student information form, and letters.","United States. Army; United States. Army. Field Artillery Regiment, 338th; United States. Army. Infantry Regiment, 352nd; United States. Army. Infantry Regiment, 30th (1901-1957)",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n2003028932,"Alderson, Albert; World War, 1914-1918; Illinois State Normal University--Students; World War, 1914-1918--Campaigns--Meuse River Valley; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; https://id.loc.gov/authorities/subjects/sh2010007621; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/2872649/,50.32797,7.22277,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/161,161
Eugene Alexander,Kansas City (Mo.),wwi_service_records_b1_f008,"Alexander, Eugene",Eugene Alexander file,"File documenting the participation of Eugene Alexander in World War I. Alexander was a lieutenant in the U.S. Quartermaster Corps in Kansas City, Missouri and Camp Johnston, Florida. File includes photo of Alexander in uniform, postcard, letter, and newspaper clippings.",United States. Army; United States. War Dept. Quartermaster Corps,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2008014894,"Alexander, Eugene; Illinois State Normal University--Students; World War, 1914-1918;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,letters (correspondence); photographs; index cards; newspaper clippings; postcards,https://www.geonames.org/4393217/,39.09973,-94.5786,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/43,43
Eugene Alexander,"Camp Johnston (Jacksonville, Fla.)",wwi_service_records_b1_f008,"Alexander, Eugene",Eugene Alexander file,"File documenting the participation of Eugene Alexander in World War I. Alexander was a lieutenant in the U.S. Quartermaster Corps in Kansas City, Missouri and Camp Johnston, Florida. File includes photo of Alexander in uniform, postcard, letter, and newspaper clippings.",United States. Army; United States. War Dept. Quartermaster Corps,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2008014894,"Alexander, Eugene; Illinois State Normal University--Students; World War, 1914-1918;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,,30.21788,-81.6841,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/43,43
Ernest Bruce Allan,Camp Dodge (Iowa),wwi_service_records_b1_f009,"Allan, Ernest Bruce",Ernest Bruce Allan file,"File documenting the participation of Ernest Bruce Allan in World War I. Allan enlisted in the Army on August 18, 1917. He served with the 349th Infantry at Camp Dodge, Iowa, and with the 328th Infantry at Camp Gordon, Georgia, before being sent overseas. Allan was in the battles of Saint-Mihiel and Argonne Forest. He was hospitalized at Varrenes, France on October 18, 1918. File includes questionnaire, index card, several extensive letters, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 328th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n91079639,"Allan, Ernest Bruce; Illinois State Normal University--Students; World War, 1914-1918; Saint-Mihiel, Battle of, Saint-Mihiel, France, 1918; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; http://id.loc.gov/authorities/subjects/sh85127174; http://id.loc.gov/authorities/subjects/sh85007115,letters (correspondence); questionnaires; photographs; index cards; envelopes,https://www.geonames.org/7267333/,41.70298,-93.7185,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/113,113
Ernest Bruce Allan,"Camp Gordon (DeKalb County, Ga.)",wwi_service_records_b1_f009,"Allan, Ernest Bruce",Ernest Bruce Allan file,"File documenting the participation of Ernest Bruce Allan in World War I. Allan enlisted in the Army on August 18, 1917. He served with the 349th Infantry at Camp Dodge, Iowa, and with the 328th Infantry at Camp Gordon, Georgia, before being sent overseas. Allan was in the battles of Saint-Mihiel and Argonne Forest. He was hospitalized at Varrenes, France on October 18, 1918. File includes questionnaire, index card, several extensive letters, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 328th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n91079639,"Allan, Ernest Bruce; Illinois State Normal University--Students; World War, 1914-1918; Saint-Mihiel, Battle of, Saint-Mihiel, France, 1918; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; http://id.loc.gov/authorities/subjects/sh85127174; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/4195817/,33.42097,-82.1621,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/113,113
Ernest Bruce Allan,Saint-Mihiel (France),wwi_service_records_b1_f009,"Allan, Ernest Bruce",Ernest Bruce Allan file,"File documenting the participation of Ernest Bruce Allan in World War I. Allan enlisted in the Army on August 18, 1917. He served with the 349th Infantry at Camp Dodge, Iowa, and with the 328th Infantry at Camp Gordon, Georgia, before being sent overseas. Allan was in the battles of Saint-Mihiel and Argonne Forest. He was hospitalized at Varrenes, France on October 18, 1918. File includes questionnaire, index card, several extensive letters, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 328th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n91079639,"Allan, Ernest Bruce; Illinois State Normal University--Students; World War, 1914-1918; Saint-Mihiel, Battle of, Saint-Mihiel, France, 1918; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; http://id.loc.gov/authorities/subjects/sh85127174; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/2977948/,48.88746,5.55099,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/113,113
Ernest Bruce Allan,Meuse (France),wwi_service_records_b1_f009,"Allan, Ernest Bruce",Ernest Bruce Allan file,"File documenting the participation of Ernest Bruce Allan in World War I. Allan enlisted in the Army on August 18, 1917. He served with the 349th Infantry at Camp Dodge, Iowa, and with the 328th Infantry at Camp Gordon, Georgia, before being sent overseas. Allan was in the battles of Saint-Mihiel and Argonne Forest. He was hospitalized at Varrenes, France on October 18, 1918. File includes questionnaire, index card, several extensive letters, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 328th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n91079639,"Allan, Ernest Bruce; Illinois State Normal University--Students; World War, 1914-1918; Saint-Mihiel, Battle of, Saint-Mihiel, France, 1918; Argonne, Battle of the, France, 1918",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898; http://id.loc.gov/authorities/subjects/sh85127174; http://id.loc.gov/authorities/subjects/sh85007115,,https://www.geonames.org/2994106/,48.97176,5.36371,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/113,113
Walter H. Allen,Corpus Christi (Tex.),wwi_service_records_b1_f010,"Allen, Walter H.",Walter H. Allen file,"File documenting the participation of Walter H. Allen in World War I. Allen was commissioned on July 16, 1917, and was a major in the Engineers' Reserve Corps. He served with the 5th Engineers' Corps at Corpus Christi, Texas, and the 65th Engineers' Tank Service at Camp Humphreys, Virginia before being sent to Fort Harrison, Indiana. File includes address card, biographical statement, and newspaper clippings.",United States. Army; United States. Army. Corps of Engineers,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n79069640,"Allen, Walter H.; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,newspaper clippings; index cards; biographical sketches,https://www.geonames.org/4683416/,27.80058,-97.3964,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/128,128
Walter H. Allen,Camp A. A. Humphreys (Va.),wwi_service_records_b1_f010,"Allen, Walter H.",Walter H. Allen file,"File documenting the participation of Walter H. Allen in World War I. Allen was commissioned on July 16, 1917, and was a major in the Engineers' Reserve Corps. He served with the 5th Engineers' Corps at Corpus Christi, Texas, and the 65th Engineers' Tank Service at Camp Humphreys, Virginia before being sent to Fort Harrison, Indiana. File includes address card, biographical statement, and newspaper clippings.",United States. Army; United States. Army. Corps of Engineers,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n79069640,"Allen, Walter H.; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/4750565/,38.7125,-77.1583,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/128,128
Walter H. Allen,Fort Benjamin Harrison (Ind.),wwi_service_records_b1_f010,"Allen, Walter H.",Walter H. Allen file,"File documenting the participation of Walter H. Allen in World War I. Allen was commissioned on July 16, 1917, and was a major in the Engineers' Reserve Corps. He served with the 5th Engineers' Corps at Corpus Christi, Texas, and the 65th Engineers' Tank Service at Camp Humphreys, Virginia before being sent to Fort Harrison, Indiana. File includes address card, biographical statement, and newspaper clippings.",United States. Army; United States. Army. Corps of Engineers,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n79069640,"Allen, Walter H.; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/4257616,39.86254,-86.0125,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/128,128
James Ambrose,Camp Logan (Tex.),wwi_service_records_b1_f011,"Ambrose, James",James Ambrose file,"File documenting the participation of James Ambrose in World War I. Ambrose served in the 56th Infantry and the 57th Infantry at Camp Logan, Texas, and the 345th Infantry at Camp Pike, Arkansas. File includes index card, address card, RSVP card, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 56th; United States. Army. Infantry Regiment, 57th; United States. Army. Infantry Regiment, 345th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n92074149; https://id.loc.gov/authorities/names/no2013088701,"Ambrose, James; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,index cards; reply cards; newspaper clippings;,,29.77149,-95.4274,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/184,184
James Ambrose,Camp Pike (Ark.),wwi_service_records_b1_f011,"Ambrose, James",James Ambrose file,"File documenting the participation of James Ambrose in World War I. Ambrose served in the 56th Infantry and the 57th Infantry at Camp Logan, Texas, and the 345th Infantry at Camp Pike, Arkansas. File includes index card, address card, RSVP card, and newspaper clippings.","United States. Army; United States. Army. Infantry Regiment, 56th; United States. Army. Infantry Regiment, 57th; United States. Army. Infantry Regiment, 345th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n92074149; https://id.loc.gov/authorities/names/no2013088701,"Ambrose, James; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/4104242/,34.825,-92.2875,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/184,184
Charles Ivan Anderson,Camp Dodge (Iowa),wwi_service_records_b1_f012,"Anderson, Chalres Ivan",Charles Ivan Anderson file,"File documenting the participation of Charles Ivan Anderson in World War I. Anderson enlisted in the Army on September 19, 1917 and served in the 349th Infantry at Camp Dodge, Iowa and Camp Upton, New York, before being sent overseas, where he was stationed in Montpellier and Saint-Nazaire, France. File includes questionnaire, address card, and RSVP card.","United States. Army; United States. Army. Infantry Regiment, 349th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2022005477,"Anderson, Chalres Ivan; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires; index cards; reply cards;,https://www.geonames.org/7267333/,41.70298,-93.7185,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/193,193
Charles Ivan Anderson,Camp Upton (N.Y.),wwi_service_records_b1_f012,"Anderson, Chalres Ivan",Charles Ivan Anderson file,"File documenting the participation of Charles Ivan Anderson in World War I. Anderson enlisted in the Army on September 19, 1917 and served in the 349th Infantry at Camp Dodge, Iowa and Camp Upton, New York, before being sent overseas, where he was stationed in Montpellier and Saint-Nazaire, France. File includes questionnaire, address card, and RSVP card.","United States. Army; United States. Army. Infantry Regiment, 349th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2022005477,"Anderson, Chalres Ivan; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/6353871/,40.86889,-72.8792,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/193,193
Charles Ivan Anderson,Montpellier (France),wwi_service_records_b1_f012,"Anderson, Chalres Ivan",Charles Ivan Anderson file,"File documenting the participation of Charles Ivan Anderson in World War I. Anderson enlisted in the Army on September 19, 1917 and served in the 349th Infantry at Camp Dodge, Iowa and Camp Upton, New York, before being sent overseas, where he was stationed in Montpellier and Saint-Nazaire, France. File includes questionnaire, address card, and RSVP card.","United States. Army; United States. Army. Infantry Regiment, 349th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2022005477,"Anderson, Chalres Ivan; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2992166/,43.61093,3.87635,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/193,193
Charles Ivan Anderson,Saint-Nazaire (France),wwi_service_records_b1_f012,"Anderson, Chalres Ivan",Charles Ivan Anderson file,"File documenting the participation of Charles Ivan Anderson in World War I. Anderson enlisted in the Army on September 19, 1917 and served in the 349th Infantry at Camp Dodge, Iowa and Camp Upton, New York, before being sent overseas, where he was stationed in Montpellier and Saint-Nazaire, France. File includes questionnaire, address card, and RSVP card.","United States. Army; United States. Army. Infantry Regiment, 349th",https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/no2022005477,"Anderson, Chalres Ivan; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/2977921/,47.27506,-2.2179,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/193,193
Robert B. Andrews,Fort Custer (Mich.),wwi_service_records_b1_f013,"Andrews, Robert B.",Robert B. Andrews file,"File documenting the participation of Robert B. Andrews in World War I. Andrews enlisted on July 31, 1918, and was a lieutenant in the Army Medical Corps at Camp Custer, Michigan. File includes photograph of Andrews in uniform and several letters.",United States. Army; United States. Army. Medical Corps,https://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n85185770,"Andrews, Robert B.; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,index cards; photographs; letters (correspondence);,https://www.geonames.org/7267464/,42.2926,-85.3259,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/169,169
C. George Appelle,Camp Grant (Ill.),wwi_service_records_b1_f014,"Appelle, C. George",C. George Appelle file,"File documenting the participation of C. George Appelle in World War I. Appelle served in the Army Medical Corps at Camp Grant, Illinois, Camp Hospital #3 in Beaumont, France, the 79th Division in Verdun, France, and the American Expeditionary Forces University in Beune, France. He was discharged on August 1, 1919.","United States. Army; United States. Army. Medical Corps; United States. Army. Camp Hospital, 3 (Beaumont, France); American Expeditionary Forces University (Beaune, France)",http://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n85185770,"Appelle, C. George; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,questionnaires;,https://www.geonames.org/4886432/,42.20836,-89.0823,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/187,187
C. George Appelle,Beaumont-Hamel (France),wwi_service_records_b1_f014,"Appelle, C. George",C. George Appelle file,"File documenting the participation of C. George Appelle in World War I. Appelle served in the Army Medical Corps at Camp Grant, Illinois, Camp Hospital #3 in Beaumont, France, the 79th Division in Verdun, France, and the American Expeditionary Forces University in Beune, France. He was discharged on August 1, 1919.","United States. Army; United States. Army. Medical Corps; United States. Army. Camp Hospital, 3 (Beaumont, France); American Expeditionary Forces University (Beaune, France)",http://id.loc.gov/authorities/names/n79063202; https://id.loc.gov/authorities/names/n85185770,"Appelle, C. George; World War, 1914-1918; Illinois State Normal University--Students;",https://id.loc.gov/authorities/subjects/sh85148236; https://id.loc.gov/authorities/names/n93011898,,https://www.geonames.org/3034157/,50.08429,2.65746,,,,http://cdm15990.contentdm.oclc.org/cdm/ref/collection/WWI_records/id/187,187
